Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Jean-Alain Boumsong,fr FRA,DF,gr Panathinaikos,30,1979,5,5,418,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Maxime Bourgeois,fr FRA,FW,fr Auxerre,19,1991,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Pierre Boya,cm CMR,FW,rs Partizan,26,1984,4,2,209,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Edson Braafheid,nl NED,DF,de Bayern Munich,27,1983,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Wout Brama,nl NED,MF,nl Twente,23,1986,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Brandão,br BRA,FW,fr Marseille,30,1980,7,6,506,5.6,2,1,3,2,0,0,1,0,0.36,0.18,0.53,0.36,0.53,Matches
107,Darko Brašanac,rs SRB,MF,rs Partizan,18,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Jimmy Briand,fr FRA,"FW,MF",fr Lyon,24,1985,8,7,606,6.7,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
109,Kirk Broadfoot,sct SCO,DF,sct Rangers,25,1984,4,4,360,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
110,Wes Brown,eng ENG,DF,eng Manchester Utd,30,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Jeffrey Bruma,nl NED,DF,eng Chelsea,18,1991,2,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Bruno,es ESP,DF,es Valencia,29,1980,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Guillermo Burdisso,ar ARG,DF,it Roma,21,1988,2,1,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Nicolás Burdisso,ar ARG,DF,it Roma,29,1981,7,7,621,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Sergio Busquets,es ESP,MF,es Barcelona,22,1988,12,12,"1,08",12.0,0,3,3,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches
116,Hans-Jörg Butt,de GER,GK,de Bayern Munich,36,1974,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Bart Buysse,be BEL,DF,nl Twente,23,1986,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Pyotr Bystrov,ru RUS,MF,ru Rubin Kazan,31,1979,3,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Cabral,ch SUI,MF,ch Basel,21,1988,4,2,157,1.7,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches
120,Cadú,pt POR,DF,ro CFR Cluj,28,1981,6,6,528,5.9,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches
121,Esteban Cambiasso,ar ARG,MF,it Inter,29,1980,7,7,630,7.0,1,2,3,1,0,0,0,0,0.14,0.29,0.43,0.14,0.43,Matches
122,Sergio Canales,es ESP,"FW,MF",es Real Madrid,19,1991,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Aníbal Capela,pt POR,DF,pt Braga,19,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Gianluca Caprari,it ITA,"FW,MF",it Roma,17,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Óscar Cardozo,py PAR,FW,pt Benfica,27,1983,4,3,295,3.3,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Michael Carrick,eng ENG,MF,eng Manchester Utd,29,1981,11,11,977,10.9,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
127,Ricardo Carvalho,pt POR,DF,es Real Madrid,32,1978,9,9,810,9.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Iker Casillas,es ESP,GK,es Real Madrid,29,1981,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Marco Cassetti,it ITA,"DF,MF",it Roma,33,1977,7,6,540,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Luca Castellazzi,it ITA,GK,it Inter,35,1975,3,2,224,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Paolo Castellini,it ITA,DF,it Roma,31,1979,4,2,254,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
132,Petr Čech,cz CZE,GK,eng Chelsea,28,1982,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Momodou Ceesay,gm GAM,FW,sk MŠK Žilina,21,1988,6,3,321,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Júlio César,br BRA,GK,it Inter,30,1979,7,7,586,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Nacer Chadli,be BEL,"FW,MF",nl Twente,20,1989,6,5,506,5.6,3,0,3,3,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches
136,Kamel Chafni,ma MAR,MF,fr Auxerre,28,1982,6,3,294,3.3,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches
137,Marouane Chamakh,ma MAR,FW,eng Arsenal,26,1984,6,4,319,3.5,3,0,3,3,0,0,0,0,0.85,0.00,0.85,0.85,0.85,Matches
138,Angelos Charisteas,gr GRE,FW,de Schalke 04,30,1980,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Benoît Cheyrou,fr FRA,MF,fr Marseille,29,1981,7,5,460,5.1,0,3,3,0,0,0,0,0,0.00,0.59,0.59,0.00,0.59,Matches
140,Scott Chipperfield,au AUS,"DF,MF",ch Basel,34,1975,4,0,49,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Cristian Chivu,ro ROU,DF,it Inter,29,1980,6,6,480,5.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
142,Lazaros Christodoulopoulos,gr GRE,"FW,MF",gr Panathinaikos,23,1986,4,2,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Dmytro Chygrynskiy,ua UKR,DF,ua Shakhtar Donetsk,23,1986,5,5,450,5.0,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
144,Cicinho,br BRA,DF,it Roma,30,1980,2,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Hüseyin Çimşir,tr TUR,"DF,MF",tr Bursaspor,31,1979,2,2,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
146,Djibril Cissé,fr FRA,FW,gr Panathinaikos,28,1981,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Édouard Cissé,fr FRA,MF,fr Marseille,32,1978,5,4,347,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Aly Cissokho,fr FRA,DF,fr Lyon,22,1987,6,6,484,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Nuno Claro,pt POR,GK,ro CFR Cluj,33,1977,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
150,Cléo,br BRA,FW,rs Partizan,24,1985,6,6,540,6.0,2,0,2,1,1,2,0,0,0.33,0.00,0.33,0.17,0.17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Gaël Clichy,fr FRA,DF,eng Arsenal,25,1985,6,5,457,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches
152,Fábio Coentrão,pt POR,DF,pt Benfica,22,1988,6,6,540,6.0,2,0,2,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
153,Ashley Cole,eng ENG,DF,eng Chelsea,29,1980,7,7,627,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
